asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,commissioning_year_assumption,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped,decommissioning_year,decommissioning_year_source
hydro_storage_canterbury_christchurch_hydro_scheme_embedded,hydro_storage,canterbury,hydro_storage,0.0,0.0,1.0,26.8,0.0,,,,existing,edgs_status_current,,True,Current,Christchurch hydro scheme (embedded),christchurch_hydro_scheme_embedded,HydSC,"Hydro, schedulable",PELE,CUL,Canterbury,153.132623,0.0,3600,,,1,,
hydro_storage_canterbury_coleridge,hydro_storage,canterbury,hydro_storage,0.0,0.0,1.0,39.5,0.0,,,,existing,edgs_status_current,,True,Current,Coleridge,coleridge,HydSC,"Hydro, schedulable",PELE,COL,Canterbury,76.055188,0.0,3600,,,1,,
hydro_storage_canterbury_waitaki_hydro_scheme,hydro_storage,canterbury,hydro_storage,0.0,0.0,1.0,1743.0,0.0,,,,existing,edgs_status_current,,True,Current,Waitaki hydro scheme,waitaki_hydro_scheme,HydSC,"Hydro, schedulable",PELE,WTK,Canterbury,61.375719,0.0,3600,,,1,,
solar_canterbury_brookside_solar_farm,solar,canterbury,solar,1110786.521739,0.0,1.0,50.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_fully_consented,2030.0,True,Fully consented,Brookside solar farm,brookside_solar_farm,Solar,Solar,PELE,ISL,Canterbury,23.558811,0.0,3600,23.05,78.589326,1,,
solar_canterbury_clandeboye_solar_farm,solar,canterbury,solar,1238973.043478,0.0,1.0,27.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Clandeboye solar farm,clandeboye_solar_farm,Solar,Solar,PELE,TMK,Canterbury,23.558811,0.0,3600,17.28,50.732272,1,,
solar_canterbury_dunsandel_solar_farm,solar,canterbury,solar,1130330.434783,0.0,1.0,60.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Dunsandel solar farm,dunsandel_solar_farm,Solar,Solar,PELE,NOR,Canterbury,23.558811,0.0,3600,23.05,90.869826,1,,
solar_canterbury_generic_solar_200mw+_2,solar,canterbury,solar,1081877.353913,0.0,1.0,200.0,0.0,2020.0,2020.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (200MW+): 2,generic_solar_200mw+_2,Solar,Solar,PELE,OHC,Canterbury,23.558811,0.0,3600,41.71,258.085471,1,,
solar_canterbury_generic_solar_200mw+_87,solar,canterbury,solar,1083494.393913,0.0,1.0,200.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (200MW+): 87,generic_solar_200mw+_87,Solar,Solar,PELE,OHC,Canterbury,23.558811,0.0,3600,38.83,255.528879,1,,
solar_canterbury_generic_solar_<100_mw_40,solar,canterbury,solar,1323524.51913,0.0,1.0,60.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (<100 MW): 40,generic_solar_<100_mw_40,Solar,Solar,PELE,CUL,Canterbury,23.558811,0.0,3600,16.17,95.581471,1,,
solar_canterbury_generic_solar_<100_mw_79,solar,canterbury,solar,1301321.085217,0.0,1.0,80.0,0.0,2030.0,2030.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (<100 MW): 79,generic_solar_<100_mw_79,Solar,Solar,PELE,ASY,Canterbury,23.558811,0.0,3600,25.25,129.355687,1,,
solar_canterbury_kowhai_park_solar_farm,solar,canterbury,solar,1016511.030462,0.0,1.0,150.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Early stages,Kōwhai Park solar farm,kowhai_park_solar_farm,Solar,Solar,PELE,ISL,Canterbury,23.558811,0.0,3600,32.977693,185.454348,1,,
solar_canterbury_lauriston_solar_farm,solar,canterbury,solar,1530920.869565,0.0,1.0,63.0,0.0,2024.0,,2024.0,fixed,edgs_fixed_commissioning_year,,True,Under construction,Lauriston solar farm,lauriston_solar_farm,Solar,Solar,PELE,ASB,Canterbury,23.558811,0.0,3600,34.57,131.018015,1,,
solar_canterbury_mt_somers_solar_farm,solar,canterbury,solar,1238973.043478,0.0,1.0,27.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Mt Somers solar farm,mt_somers_solar_farm,Solar,Solar,PELE,ASB,Canterbury,23.558811,0.0,3600,17.28,50.732272,1,,
solar_canterbury_ohau_a_solar_plant,solar,canterbury,solar,922807.26,0.0,1.0,278.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_announced,2035.0,True,Announced,Ohau A solar plant,ohau_a_solar_plant,Solar,Solar,PELE,OHA,Canterbury,23.558811,0.0,3600,29.38,285.920418,1,,
solar_canterbury_swannanoa_solar_farm,solar,canterbury,solar,1187837.309466,0.0,1.0,130.0,0.0,2026.0,2026.0,,flexible,edgs_earliest_commissioning_year,,True,Announced,Swannanoa solar farm,swannanoa_solar_farm,Solar,Solar,PELE,ISL,Canterbury,23.558811,0.0,3600,41.227228,195.646078,1,,
solar_canterbury_the_point_solar_farm,solar,canterbury,solar,884000.872174,0.0,1.0,420.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_applied_for_consent,2030.0,True,Applied for consent,The Point solar farm,the_point_solar_farm,Solar,Solar,PELE,OHC,Canterbury,20.444943,0.0,3600,28.81,400.090366,1,,
solar_canterbury_waipara_solar_farm,solar,canterbury,solar,1007793.60087,0.0,1.0,144.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_announced,2035.0,True,Announced,Waipara solar farm,waipara_solar_farm,Solar,Solar,PELE,WPR,Canterbury,23.558811,0.0,3600,29.96,175.082279,1,,
wind_canterbury_generic_wind_no_69,wind,canterbury,wind,2264257.171581,0.0,1.0,100.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Generic Wind No. 69,generic_wind_no_69,Wind,Wind,PELE,WPR,Canterbury,53.549177,0.0,3600,71.52455,297.950267,1,,
wind_canterbury_mount_cass_wind_farm,wind,canterbury,wind,2217935.56428,0.0,1.0,94.6,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Mount Cass wind farm,mount_cass_wind_farm,Wind,Wind,PELE,WPR,Canterbury,47.270754,0.0,3600,16.00839,225.825095,1,,
wind_canterbury_project_hurunui_wind_farm,wind,canterbury,wind,2188170.623007,0.0,1.0,76.0,0.0,2035.0,2035.0,,flexible,assumed_from_status_generic,2035.0,True,Generic,Project Hurunui Wind Farm,project_hurunui_wind_farm,Wind,Wind,PELE,WPR,Canterbury,52.90131,0.0,3600,46.28364,212.584607,1,,
diesel_peaker_hawkes_bay_whirinaki_peaker_plant,diesel_peaker,hawkes_bay,diesel_peaker,0.0,48.130651,0.327273,155.0,0.0,,,,existing,edgs_status_current,,True,Current,Whirinaki peaker plant,whirinaki_peaker_plant,DslPkr,"Peaker, diesel-fired OCGT",PELE,WHI,Hawke's Bay,27.092632,3.133322,11000,,,1,,
hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,hydro_storage,hawkes_bay,hydro_storage,0.0,0.0,1.0,138.0,0.0,,,,existing,edgs_status_current,,True,Current,Waikaremoana hydro scheme,waikaremoana_hydro_scheme,HydSC,"Hydro, schedulable",PELE,TUI,Hawke's Bay,75.584954,0.0,3600,,,1,,
