hydrology_year,hour_of_year,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,hydro_storage_canterbury_christchurch_hydro_scheme_embedded,hydro_storage_canterbury_coleridge,hydro_storage_canterbury_waitaki_hydro_scheme,hydro_storage_waikato_bunnythorpe_hydro_scheme,hydro_storage_manawatu_whanganui_mangahao,hydro_storage_taranaki_patea,hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,hydro_storage_nelson_cobb,hydro_storage_otago_clyde_and_roxburgh_hydro_scheme,hydro_storage_otago_waipori_power_scheme,hydro_storage_southland_manapouri,hydro_storage_waikato_waikato_river_hydro_scheme,ror_canterbury,ror_marlborough,ror_otago,ror_west_coast
2012,5625,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5626,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5627,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5628,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5629,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5630,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5631,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5632,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5633,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
2012,5634,20.996523702,122.493553298,7.456554989,18.859206553,364.327252459,201.331266730,18.936650392,14.809074878,44.363726000,23.949319000,241.361884171,28.475564931,324.919446898,555.191001000,0.272675820,0.351602132,0.382989934,0.351602132
