generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count,scenario
hydro_flexible,hawkes_bay,hydro_flexible,,0.000000,1.000000,138.000000,0.000000,,,,flexible,1,Growth
solar_fixed,hawkes_bay,solar_fixed,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,1,Growth
solar_flexible,hawkes_bay,solar_flexible,1136308.387556,0.000000,1.000000,383.000000,0.000000,2025,2025,,flexible,1,Growth
wind_fixed,hawkes_bay,wind_fixed,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,1,Growth
wind_flexible,hawkes_bay,wind_flexible,2254062.549690,0.000000,1.000000,200.000000,0.000000,,,,flexible,1,Growth
hydro_flexible,manawatu_whanganui,hydro_flexible,,0.000000,1.000000,39.000000,0.000000,,,,flexible,1,Growth
solar_flexible,manawatu_whanganui,solar_flexible,1170524.169545,0.000000,1.000000,494.000000,0.000000,2024,2024,,flexible,1,Growth
wind_flexible,manawatu_whanganui,wind_flexible,2364214.612436,0.000000,1.000000,2319.150000,0.000000,2024,2024,,flexible,1,Growth
hydro_flexible,marlborough,hydro_flexible,5303485.850823,0.000000,1.000000,72.000000,0.000000,,,,flexible,1,Growth
solar_flexible,marlborough,solar_flexible,2078759.081057,0.000000,1.000000,65.000000,0.000000,2026,2026,,flexible,1,Growth
wind_flexible,marlborough,wind_flexible,2133422.222356,0.000000,1.000000,125.000000,0.000000,,,,flexible,1,Growth
hydro_flexible,nelson,hydro_flexible,,0.000000,1.000000,32.000000,0.000000,,,,flexible,1,Growth
solar_flexible,nelson,solar_flexible,1002308.011304,0.000000,1.000000,130.000000,0.000000,,,,flexible,1,Growth
diesel_flexible,northland,diesel_flexible,,50.898764,0.330094,9.000000,0.000000,,,,flexible,1,Growth
gas_flexible,northland,gas_flexible,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,1,Growth
geo_flexible,northland,geo_flexible,9147422.765051,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,1,Growth
solar_fixed,northland,solar_fixed,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,1,Growth
solar_flexible,northland,solar_flexible,1104006.540016,0.000000,1.000000,525.700000,0.000000,2024,2024,,flexible,1,Growth
wind_flexible,northland,wind_flexible,2165766.849488,0.000000,1.000000,548.000000,0.000000,2024,2024,,flexible,1,Growth
hydro_flexible,otago,hydro_flexible,5837698.970982,0.000000,1.000000,1581.000000,0.000000,,,,flexible,3,Growth
solar_flexible,otago,solar_flexible,1133380.347038,0.000000,1.000000,879.000000,0.000000,2025,2025,,flexible,1,Growth
thermal_other_flexible,otago,thermal_other_flexible,2518865.562924,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,1,Growth
wind_flexible,otago,wind_flexible,2471878.285619,0.000000,1.000000,774.000000,0.000000,2028,2028,,flexible,1,Growth
hydro_flexible,southland,hydro_flexible,,0.000000,1.000000,800.000000,0.000000,,,,flexible,1,Growth
solar_flexible,southland,solar_flexible,1231779.296656,0.000000,1.000000,260.000000,0.000000,2025,2025,,flexible,1,Growth
wind_flexible,southland,wind_flexible,2386080.236569,0.000000,1.000000,891.000000,0.000000,2026,2026,,flexible,1,Growth
gas_flexible,taranaki,gas_flexible,1213001.596675,18.136248,0.401562,994.600000,0.000000,2025,2025,,flexible,4,Growth
hydro_flexible,taranaki,hydro_flexible,,0.000000,1.000000,33.000000,0.000000,,,,flexible,1,Growth
solar_flexible,taranaki,solar_flexible,1110769.779069,0.000000,1.000000,581.000000,0.000000,2040,2040,,flexible,1,Growth
wind_flexible,taranaki,wind_flexible,2199589.606115,0.000000,1.000000,733.000000,0.000000,,,,flexible,1,Growth
coal_flexible,waikato,coal_flexible,,23.293774,0.330275,400.000000,0.000000,,,,flexible,1,Growth
gas_flexible,waikato,gas_flexible,1411927.173267,27.566561,0.369422,1213.800000,0.000000,2025,2025,,flexible,3,Growth
geo_fixed,waikato,geo_fixed,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,1,Growth
geo_flexible,waikato,geo_flexible,5724472.792182,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,1,Growth
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1,Growth
solar_flexible,waikato,solar_flexible,1173678.921180,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,1,Growth
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1,Growth
wind_fixed,waikato,wind_fixed,2261132.872762,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1,Growth
wind_flexible,waikato,wind_flexible,2206662.654705,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,1,Growth
solar_flexible,wellington,solar_flexible,1143197.793669,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,1,Growth
wind_flexible,wellington,wind_flexible,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,1,Growth
hydro_flexible,west_coast,hydro_flexible,5634130.754773,0.000000,1.000000,190.000000,0.000000,,,,flexible,2,Growth
wind_flexible,west_coast,wind_flexible,2173931.253667,0.000000,1.000000,75.000000,0.000000,,,,flexible,1,Growth
gas_flexible,auckland,gas_flexible,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,1,Innovation
solar_flexible,auckland,solar_flexible,1099972.888856,0.000000,1.000000,1774.000000,0.000000,2025,2025,,flexible,1,Innovation
thermal_other_flexible,auckland,thermal_other_flexible,,11.308229,1.000000,0.000000,0.000000,,,,flexible,1,Innovation
wind_flexible,auckland,wind_flexible,2224237.068351,0.000000,1.000000,460.000000,0.000000,2027,2027,,flexible,1,Innovation
geo_flexible,bay_of_plenty,geo_flexible,5947224.944036,0.000000,0.300000,333.500000,0.000000,2030,2030,,flexible,1,Innovation
hydro_flexible,bay_of_plenty,hydro_flexible,,0.000000,1.000000,172.900000,0.000000,,,,flexible,1,Innovation
solar_fixed,bay_of_plenty,solar_fixed,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,1,Innovation
solar_flexible,bay_of_plenty,solar_flexible,1067791.466393,0.000000,1.000000,764.000000,0.000000,2020,2020,,flexible,1,Innovation
hydro_flexible,canterbury,hydro_flexible,5409988.983986,0.000000,1.000000,2552.300000,0.000000,,,,flexible,3,Innovation
solar_fixed,canterbury,solar_fixed,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,1,Innovation
solar_flexible,canterbury,solar_flexible,957070.457845,0.000000,1.000000,4006.000000,0.000000,2020,2020,,flexible,1,Innovation
thermal_other_flexible,canterbury,thermal_other_flexible,2169235.793804,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,1,Innovation
wind_flexible,canterbury,wind_flexible,1944827.876527,0.000000,1.000000,470.600000,0.000000,2025,2025,,flexible,1,Innovation
diesel_flexible,hawkes_bay,diesel_flexible,,48.130651,0.327273,155.000000,0.000000,,,,flexible,1,Innovation
hydro_flexible,hawkes_bay,hydro_flexible,,0.000000,1.000000,138.000000,0.000000,,,,flexible,1,Innovation
solar_fixed,hawkes_bay,solar_fixed,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,1,Innovation
solar_flexible,hawkes_bay,solar_flexible,992413.998960,0.000000,1.000000,583.000000,0.000000,2025,2025,,flexible,1,Innovation
wind_fixed,hawkes_bay,wind_fixed,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,1,Innovation
wind_flexible,hawkes_bay,wind_flexible,1961957.278238,0.000000,1.000000,475.000000,0.000000,,,,flexible,1,Innovation
hydro_flexible,manawatu_whanganui,hydro_flexible,,0.000000,1.000000,39.000000,0.000000,,,,flexible,1,Innovation
solar_flexible,manawatu_whanganui,solar_flexible,1047601.328969,0.000000,1.000000,974.000000,0.000000,2024,2024,,flexible,1,Innovation
wind_flexible,manawatu_whanganui,wind_flexible,2115669.328416,0.000000,1.000000,2419.150000,0.000000,2024,2024,,flexible,1,Innovation
hydro_flexible,marlborough,hydro_flexible,4528567.957406,0.000000,1.000000,72.000000,0.000000,,,,flexible,1,Innovation
solar_flexible,marlborough,solar_flexible,1328405.830435,0.000000,1.000000,205.000000,0.000000,2020,2020,,flexible,1,Innovation
wind_flexible,marlborough,wind_flexible,1839157.088238,0.000000,1.000000,125.000000,0.000000,,,,flexible,1,Innovation
hydro_flexible,nelson,hydro_flexible,,0.000000,1.000000,32.000000,0.000000,,,,flexible,1,Innovation
solar_flexible,nelson,solar_flexible,864058.630435,0.000000,1.000000,130.000000,0.000000,,,,flexible,1,Innovation
diesel_flexible,northland,diesel_flexible,,50.898764,0.330094,9.000000,0.000000,,,,flexible,1,Innovation
gas_flexible,northland,gas_flexible,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,1,Innovation
geo_flexible,northland,geo_flexible,8349716.617102,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,1,Innovation
solar_fixed,northland,solar_fixed,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,1,Innovation
solar_flexible,northland,solar_flexible,1026086.869703,0.000000,1.000000,585.700000,0.000000,2024,2024,,flexible,1,Innovation
wind_flexible,northland,wind_flexible,1898358.537242,0.000000,1.000000,1323.000000,0.000000,2024,2024,,flexible,1,Innovation
hydro_flexible,otago,hydro_flexible,4994624.281352,0.000000,1.000000,1581.000000,0.000000,,,,flexible,3,Innovation
solar_flexible,otago,solar_flexible,1007373.419200,0.000000,1.000000,1919.000000,0.000000,2020,2020,,flexible,1,Innovation
thermal_other_flexible,otago,thermal_other_flexible,2169235.793804,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,1,Innovation
wind_flexible,otago,wind_flexible,2161344.372984,0.000000,1.000000,924.000000,0.000000,2028,2028,,flexible,1,Innovation
hydro_flexible,southland,hydro_flexible,,0.000000,1.000000,800.000000,0.000000,,,,flexible,1,Innovation
solar_flexible,southland,solar_flexible,1065276.484348,0.000000,1.000000,500.000000,0.000000,2025,2025,,flexible,1,Innovation
wind_flexible,southland,wind_flexible,2085668.784630,0.000000,1.000000,991.000000,0.000000,2026,2026,,flexible,1,Innovation
gas_flexible,taranaki,gas_flexible,1213001.596675,18.136248,0.401562,994.600000,0.000000,2025,2025,,flexible,4,Innovation
hydro_flexible,taranaki,hydro_flexible,,0.000000,1.000000,33.000000,0.000000,,,,flexible,1,Innovation
solar_flexible,taranaki,solar_flexible,992163.230256,0.000000,1.000000,841.000000,0.000000,2025,2025,,flexible,1,Innovation
wind_flexible,taranaki,wind_flexible,1896197.936306,0.000000,1.000000,733.000000,0.000000,,,,flexible,1,Innovation
coal_flexible,waikato,coal_flexible,,23.293774,0.330275,400.000000,0.000000,,,,flexible,1,Innovation
gas_flexible,waikato,gas_flexible,1411927.173267,27.566561,0.369422,1213.800000,0.000000,2025,2025,,flexible,3,Innovation
