scenario,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
Environmental,wind,auckland,wind,2543480.506397,0.000000,1.000000,460.000000,0.000000,2027,2027,,flexible,Wind,Wind,Auckland,49.983090,0.000000,3600.000000,164.505247,1334.506280,4
Environmental,geo,bay_of_plenty,geo,6612895.735208,0.000000,0.300000,333.500000,0.000000,2030,2030,,flexible,Geo,Geothermal,Bay of Plenty,223.808703,0.000000,12000.000000,97.180095,1313.952910,8
Environmental,hydsc,bay_of_plenty,hydsc,,0.000000,1.000000,172.900000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Bay of Plenty,116.463264,0.000000,3600.000000,,,2
Environmental,solar,bay_of_plenty,solar,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,28.810000,461.050739,4
Environmental,solar,bay_of_plenty,solar,1164839.497625,0.000000,1.000000,764.000000,0.000000,2020,2020,,flexible,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,234.846179,1124.783555,7
Environmental,biorecip,canterbury,biorecip,2485689.015489,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,BioRecip,Reciprocating Biogas engine,Canterbury,21.173282,0.000000,11400.000000,0.661665,25.518555,1
Environmental,hydpk,canterbury,hydpk,4044096.805421,0.000000,1.000000,35.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Canterbury,76.300527,0.000000,3600.000000,5.160987,146.704376,1
Environmental,hydrr,canterbury,hydrr,6385490.051889,0.000000,1.000000,708.000000,0.000000,,,,flexible,HydRR,"Hydro, run of river",Canterbury,65.640251,0.000000,3600.000000,74.381739,4595.308695,6
Environmental,hydsc,canterbury,hydsc,,0.000000,1.000000,1809.300000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Canterbury,63.055332,0.000000,3600.000000,,,3
Environmental,solar,canterbury,solar,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,Solar,Solar,Canterbury,23.558811,0.000000,3600.000000,34.570000,131.018015,1
Environmental,solar,canterbury,solar,1087621.333892,0.000000,1.000000,4006.000000,0.000000,2020,2020,,flexible,Solar,Solar,Canterbury,23.232344,0.000000,3600.000000,944.094921,5301.105984,25
Environmental,wind,canterbury,wind,2159975.382605,0.000000,1.000000,470.600000,0.000000,2025,2025,,flexible,Wind,Wind,Canterbury,50.024822,0.000000,3600.000000,182.653995,1199.138410,4
Environmental,dslpkr,hawkes_bay,dslpkr,,48.130651,0.327273,155.000000,0.000000,,,,flexible,DslPkr,"Peaker, diesel-fired OCGT",Hawke's Bay,27.092632,3.133322,11000.000000,,,1
Environmental,hydsc,hawkes_bay,hydsc,,0.000000,1.000000,138.000000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Hawke's Bay,75.584954,0.000000,3600.000000,,,1
Environmental,solar,hawkes_bay,solar,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,Solar,Solar,Hawke's Bay,23.558811,0.000000,3600.000000,36.645730,135.334613,1
Environmental,solar,hawkes_bay,solar,1134854.596457,0.000000,1.000000,583.000000,0.000000,2025,2025,,flexible,Solar,Solar,Hawke's Bay,23.329143,0.000000,3600.000000,129.620654,791.240884,5
