Scenario,Region,Tech,TechName,Capacity (MW),Heat Rate (GJ/GWh),Variable operating costs (NZD/MWh),Fixed operating costs (NZD/kW/year),Fuel delivery costs (NZD/GJ),Capital cost (NZD/kW),Connection cost (NZD $m),Total Capital costs (NZD $m),Earliest Commissioning Year,Fixed Commissioning Year,Plants grouped
Growth,Canterbury,BioRecip,Reciprocating Biogas engine,10.000000,11400.000000,16.012294,21.173282,0.000000,2518.865563,0.661665,25.850321,2035,,1
Growth,Canterbury,HydPK,"Hydro, peaking",35.000000,3600.000000,0.000000,76.300527,0.000000,4044.096805,5.160987,146.704376,,,1
Growth,Canterbury,HydRR,"Hydro, run of river",138.000000,3600.000000,0.000000,77.074472,0.000000,5914.049006,37.063830,853.202592,,,4
Growth,Canterbury,HydSC,"Hydro, schedulable",1809.300000,3600.000000,0.000000,63.055332,0.000000,,,,,,3
Growth,Canterbury,Solar,Solar,63.000000,3600.000000,0.000000,23.558811,0.000000,1530.920870,34.570000,131.018015,,2024,1
Growth,Canterbury,Solar,Solar,1826.000000,3600.000000,0.000000,22.842587,0.000000,1033.238648,364.974921,2251.668693,2020,,13
Growth,Canterbury,Wind,Wind,270.600000,3600.000000,0.000000,51.172323,0.000000,2226.693972,133.816580,736.359969,2025,,3
Growth,Hawke's Bay,DslPkr,"Peaker, diesel-fired OCGT",155.000000,11000.000000,13.664110,27.092632,3.133322,,,,,,1
Growth,Hawke's Bay,HydSC,"Hydro, schedulable",138.000000,3600.000000,0.000000,75.584954,0.000000,,,,,,1
Growth,Hawke's Bay,Solar,Solar,70.000000,3600.000000,0.000000,23.558811,0.000000,1409.841185,36.645730,135.334613,,2024,1
Growth,Hawke's Bay,Solar,Solar,383.000000,3600.000000,0.000000,23.209212,0.000000,1136.308388,96.170654,531.376767,2025,,4
Growth,Hawke's Bay,Wind,Wind,176.000000,3600.000000,0.000000,41.239698,0.000000,2479.818246,21.518302,457.966314,,2024,1
Growth,Hawke's Bay,Wind,Wind,200.000000,3600.000000,0.000000,54.370791,0.000000,2254.062550,192.440146,643.252656,,,2
Growth,Manawatū-Whanganui,HydSC,"Hydro, schedulable",39.000000,3600.000000,0.000000,76.085855,0.000000,,,,,,1
Growth,Manawatū-Whanganui,Solar,Solar,494.000000,3600.000000,0.000000,23.558811,0.000000,1170.524170,172.614455,750.853395,2024,,8
Growth,Manawatū-Whanganui,Wind,Wind,2319.150000,3600.000000,0.000000,49.349252,0.000000,2364.214612,513.603339,4770.371749,2024,,18
Growth,Marlborough,HydRR,"Hydro, run of river",72.000000,3600.000000,0.000000,74.317368,0.000000,5303.485851,13.881733,395.732714,,,1
Growth,Marlborough,Solar,Solar,65.000000,3600.000000,0.000000,22.217452,0.000000,2078.759081,34.560000,169.679340,2026,,2
Growth,Marlborough,Wind,Wind,125.000000,3600.000000,0.000000,49.645482,0.000000,2133.422222,45.821887,312.499665,,,2
Growth,Nelson,HydSC,"Hydro, schedulable",32.000000,3600.000000,0.000000,76.464087,0.000000,,,,,,1
Growth,Nelson,Solar,Solar,130.000000,3600.000000,0.000000,23.558811,0.000000,1002.308011,31.690000,161.990041,,,1
Growth,Northland,DslPkr,"Peaker, diesel-fired OCGT",9.000000,10906.000000,16.726756,22.380870,3.133322,,,,,,1
Growth,Northland,GasPkr,"Peaker, gas-fired OCGT",100.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,13.192934,134.493094,2030,,1
Growth,Northland,Geo,Geothermal,142.000000,12000.000000,0.000000,223.808703,0.000000,9147.422765,53.007324,803.095991,2026,,5
Growth,Northland,Solar,Solar,24.000000,3600.000000,0.000000,20.444943,0.000000,1249.208261,24.200000,54.180998,,2024,1
Growth,Northland,Solar,Solar,525.700000,3600.000000,0.000000,23.558811,0.000000,1104.006540,147.166336,692.214365,2024,,8
Growth,Northland,Wind,Wind,548.000000,3600.000000,0.000000,49.718140,0.000000,2165.766849,224.609703,1411.449936,2024,,4
Growth,Otago,BioRecip,Reciprocating Biogas engine,10.000000,11400.000000,16.012294,21.173282,0.000000,2518.865563,0.661665,25.850321,2030,,1
Growth,Otago,HydPK,"Hydro, peaking",17.000000,3600.000000,0.000000,153.132623,0.000000,2957.201678,17.203291,67.475720,,,1
Growth,Otago,HydRR,"Hydro, run of river",725.000000,3600.000000,0.000000,64.790447,0.000000,5905.241666,75.297483,4356.597691,,,4
Growth,Otago,HydSC,"Hydro, schedulable",839.000000,3600.000000,0.000000,61.884357,0.000000,,,,,,2
Growth,Otago,Solar,Solar,879.000000,3600.000000,0.000000,22.496057,0.000000,1133.380347,185.691174,1181.932499,2025,,5
Growth,Otago,Wind,Wind,774.000000,3600.000000,0.000000,48.260955,0.000000,2471.878286,145.729444,1969.975619,2028,,4
Growth,Southland,HydSC,"Hydro, schedulable",800.000000,3600.000000,0.000000,35.339084,0.000000,,,,,,1
Growth,Southland,Solar,Solar,260.000000,3600.000000,0.000000,23.558811,0.000000,1231.779297,69.410000,389.672617,2025,,2
Growth,Southland,Wind,Wind,891.000000,3600.000000,0.000000,49.189898,0.000000,2386.080237,153.556312,2038.559698,2026,,8
Growth,Taranaki,CCGT,Combined cycle gas turbine,380.000000,7700.000000,6.125291,48.295562,0.518294,,,,,,1
Growth,Taranaki,GasCog,"Cogeneration, gas-fired",95.000000,9300.000000,5.773787,46.837345,1.322268,,,,,,2
Growth,Taranaki,GasPkr,"Peaker, gas-fired OCGT",510.000000,10089.156863,11.534579,19.054921,1.250465,1213.001597,13.192934,134.493094,2025,,4
Growth,Taranaki,HydSC,"Hydro, schedulable",33.000000,3600.000000,0.000000,76.402752,0.000000,,,,,,1
Growth,Taranaki,OCGT,Open cycle gas turbine,9.600000,11600.000000,16.726756,11.779405,0.000000,,,,,,1
Growth,Taranaki,Solar,Solar,581.000000,3600.000000,0.000000,23.215803,0.000000,1110.769779,187.676347,833.033589,2040,,7
Growth,Taranaki,Wind,Wind,733.000000,3600.000000,0.000000,48.575183,0.000000,2199.589606,132.883473,1452.637236,,,4
Growth,Waikato,CCGT,Combined cycle gas turbine,403.000000,7400.000000,6.125291,48.295562,1.319293,,,,,,1
Growth,Waikato,Coal,Coal,400.000000,10900.000000,13.664110,96.591125,0.883455,,,,,,2
Growth,Waikato,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Growth,Waikato,Geo,Geothermal,203.400000,12000.000000,0.000000,230.789404,0.000000,5460.725829,42.664431,1153.376064,,2024,2
Growth,Waikato,Geo,Geothermal,1215.400000,12000.000000,0.000000,217.442776,0.000000,5724.472792,123.868031,2516.697658,2026,,17
Growth,Waikato,HydSC,"Hydro, schedulable",1455.500000,3600.000000,0.000000,67.460618,0.000000,,,,,,2
Growth,Waikato,OCGT,Open cycle gas turbine,510.800000,11461.765857,12.814277,22.187160,1.219671,1528.758953,5.889703,556.242926,,,4
Growth,Waikato,OthCog,"Cogeneration, other",39.600000,12000.000000,11.308229,82.455838,1.319293,,,,,,1
Growth,Waikato,Solar,Solar,1357.000000,3600.000000,0.000000,23.558811,0.000000,1173.678921,317.652486,1910.334782,2025,,9
Growth,Waikato,Wind,Wind,100.000000,3600.000000,0.000000,48.531150,0.000000,2261.132873,18.411211,244.524498,,2025,1
Growth,Waikato,Wind,Wind,1119.400000,3600.000000,0.000000,48.523700,0.000000,2206.662655,318.456226,2646.485326,2025,,8
Growth,Wellington,Solar,Solar,763.000000,3600.000000,0.000000,23.558811,0.000000,1143.197794,171.425446,1043.685362,2050,,6
